Student_ID,Course_Year,Attendance_Percentage,Assignment_Submission_Rate,Quiz_Average_Score,Midterm_Score,Previous_GPA,Late_Submission_Count,Missing_Assignment_Count,Study_Plan_Adherence,Academic_Risk_Level
STU-CC2D581B,3,47.68,46.82,23.56,86.91,1.75,6.0,5.0,21.8,High Risk
STU-D928D1D1,3,86.57,77.44,63.5,65.83,2.34,1.0,6.0,28.04,Medium Risk
STU-3F58D18E,1,80.75,24.96,48.17,86.82,3.3,2.0,0.0,22.74,Low Risk
STU-192E1D01,2,86.46,76.76,17.96,32.02,3.66,1.0,0.0,96.45,Low Risk
STU-74EB07BE,3,85.83,25.46,51.93,51.59,2.5,2.0,6.0,23.91,Medium Risk
STU-C797AAD7,4,41.76,66.97,38.9,62.11,3.96,3.0,4.0,15.51,Low Risk
STU-5F12BCE5,2,53.11,67.8,20.69,66.8,1.52,4.0,1.0,67.06,Medium Risk
STU-64BAD0D3,1,51.91,44.17,39.94,98.83,1.67,1.0,6.0,75.65,Medium Risk
STU-D435AAB5,3,95.75,26.33,40.0,86.13,2.38,6.0,6.0,30.1,Medium Risk
STU-B68FB897,1,66.69,95.95,45.18,14.97,2.53,3.0,1.0,44.65,Medium Risk
STU-E7DEF510,3,42.22,62.85,46.15,25.22,2.27,0.0,2.0,41.33,Medium Risk
STU-6E4A662F,3,53.82,66.38,51.53,69.14,2.29,3.0,2.0,76.53,Medium Risk
STU-9A517919,2,91.67,69.2,22.82,31.65,2.46,8.0,7.0,48.5,High Risk
STU-2601C469,4,90.06,91.28,15.45,24.31,1.96,4.0,1.0,59.93,Medium Risk
STU-B5429E2A,2,93.52,24.82,77.56,70.0,1.39,1.0,4.0,81.0,Low Risk
STU-EB37297C,3,60.25,91.46,43.67,58.28,3.87,5.0,6.0,56.93,Medium Risk
STU-09EDC388,1,76.69,39.17,67.16,82.47,3.38,6.0,2.0,76.68,Low Risk
STU-43D3F4D0,2,53.08,26.24,41.1,38.74,3.44,1.0,3.0,63.16,Medium Risk
STU-80FEC6DB,4,46.75,72.58,98.66,39.67,2.09,9.0,2.0,75.58,High Risk
STU-A9E24EC0,1,36.42,98.16,41.81,23.54,2.21,1.0,3.0,22.71,Medium Risk
STU-A201ACFD,2,49.52,24.58,66.43,68.7,3.81,9.0,7.0,98.15,Medium Risk
STU-2F33B9DA,2,74.28,54.09,33.7,73.8,3.92,2.0,3.0,22.39,Low Risk
STU-91CC3F6B,1,93.77,62.38,59.01,22.46,3.83,9.0,7.0,69.07,Medium Risk
STU-EC98A9A4,2,43.67,40.17,64.24,32.87,2.93,3.0,0.0,16.97,Medium Risk
STU-722A693A,1,94.67,98.63,30.54,23.88,1.73,4.0,5.0,58.96,Medium Risk
STU-3DD4A8B7,4,57.45,71.28,25.51,77.29,2.81,2.0,5.0,23.16,Medium Risk
STU-A9F7FD47,3,62.74,87.55,97.76,28.82,2.77,3.0,6.0,22.65,Medium Risk
STU-B69B4984,2,58.72,53.26,90.93,23.7,3.72,6.0,5.0,39.22,Medium Risk
STU-41BD03A5,3,61.56,48.32,71.11,16.29,1.94,5.0,7.0,35.54,High Risk
STU-FA4300A0,1,51.85,64.25,88.19,84.82,1.6,1.0,7.0,26.63,Medium Risk
STU-5A85AF9F,2,80.41,54.82,23.12,21.16,1.8,6.0,0.0,64.23,Medium Risk
STU-8505E6E2,1,84.28,77.2,77.0,12.67,1.73,1.0,4.0,90.26,Low Risk
STU-776E6E7E,1,88.5,41.27,39.28,15.79,2.95,2.0,6.0,92.98,Medium Risk
STU-B93BBD3F,4,57.18,55.97,60.86,43.01,3.44,0.0,5.0,39.68,Medium Risk
STU-55FE57AE,1,84.7,91.61,80.01,63.7,2.1,5.0,0.0,88.49,Low Risk
STU-6081C057,4,76.45,80.49,17.85,45.84,1.53,9.0,7.0,97.24,High Risk
STU-A2907F6D,2,97.26,33.45,74.06,50.99,2.03,3.0,3.0,41.53,Medium Risk
STU-F6D1693D,1,62.61,90.95,51.96,92.74,2.64,8.0,4.0,94.66,Medium Risk
STU-33F245FF,3,99.5,67.12,52.37,78.3,2.99,3.0,0.0,51.21,Low Risk
STU-03924837,3,83.13,74.34,92.12,40.69,2.65,9.0,0.0,54.44,Medium Risk
STU-16FEA4F0,2,85.46,43.54,88.08,23.89,1.77,5.0,5.0,55.83,High Risk
STU-022F20C1,2,36.67,55.32,19.89,77.43,3.75,7.0,3.0,77.15,Medium Risk
STU-1172D0D0,1,67.33,84.54,67.56,61.62,2.31,4.0,2.0,37.15,Medium Risk
STU-6C03F5A9,4,69.34,46.45,52.05,96.6,2.38,2.0,5.0,35.43,Low Risk
STU-67801418,2,37.64,33.2,25.01,91.76,3.9,8.0,6.0,68.51,Medium Risk
STU-99B2F253,1,55.29,50.26,87.34,60.73,3.61,2.0,4.0,62.4,Low Risk
STU-16CF2BBE,4,97.12,25.54,21.08,16.29,3.42,8.0,0.0,21.04,Medium Risk
STU-98BA4D80,1,62.7,77.43,17.73,12.79,1.55,1.0,3.0,91.71,Medium Risk
STU-EC1482BA,1,47.14,31.82,31.79,85.38,3.51,7.0,7.0,39.71,High Risk
STU-E273D61D,2,68.37,42.81,40.79,72.82,2.37,5.0,0.0,78.83,Medium Risk
STU-39B479D4,3,37.19,90.49,20.17,60.41,1.63,8.0,2.0,64.17,High Risk
STU-124D7215,1,68.54,63.24,69.51,72.0,3.97,4.0,1.0,63.64,Low Risk
STU-FD6CFEDC,2,73.63,45.71,52.16,58.58,1.52,3.0,4.0,87.99,Medium Risk
STU-BBA77279,4,58.25,63.81,50.04,62.05,3.77,1.0,6.0,89.84,Low Risk
STU-E682CFC2,1,84.57,37.46,27.35,30.33,1.0,0.0,4.0,62.61,Medium Risk
STU-2F8D7E0B,2,43.82,22.01,52.21,51.0,2.31,3.0,3.0,51.42,Medium Risk
STU-328D4507,2,92.08,68.3,48.16,11.0,1.09,7.0,6.0,67.71,High Risk
STU-87251656,3,97.1,77.13,47.61,70.19,3.74,9.0,5.0,25.17,Medium Risk
STU-DD6D89B5,4,35.08,90.38,33.58,39.91,1.38,8.0,3.0,50.7,High Risk
STU-C350DF8D,2,89.78,81.75,23.03,69.07,3.02,0.0,0.0,71.27,Low Risk
STU-4D787E05,1,67.9,94.13,37.16,93.38,2.89,1.0,4.0,79.86,Low Risk
STU-E9C980C8,2,64.99,98.88,71.72,63.25,3.34,2.0,5.0,76.31,Low Risk
STU-F46DA641,1,50.51,79.59,21.2,39.53,3.24,7.0,0.0,29.84,Medium Risk
STU-EDBE98A6,3,64.08,89.43,47.5,28.64,1.1,8.0,1.0,66.98,Medium Risk
STU-E40A4B13,1,96.78,73.9,58.72,32.65,2.17,2.0,5.0,22.68,Medium Risk
STU-F26772C7,2,48.7,33.68,96.87,98.86,1.97,3.0,4.0,65.66,Medium Risk
STU-0D997CD8,2,46.64,34.54,86.73,65.38,3.92,7.0,6.0,78.4,Medium Risk
STU-4D0BF401,1,50.72,28.82,92.91,49.65,3.32,2.0,1.0,68.67,Low Risk
STU-27430500,3,70.87,95.44,84.7,30.79,3.12,5.0,0.0,68.12,Low Risk
STU-44600E43,1,95.47,73.82,65.07,79.57,2.33,0.0,5.0,70.52,Low Risk
STU-F76AA431,4,72.3,83.19,88.17,44.87,3.67,6.0,7.0,50.53,Medium Risk
STU-920D7031,2,50.83,46.49,63.05,37.1,1.05,4.0,6.0,47.72,High Risk
STU-D4514F30,4,63.63,56.83,45.41,30.01,1.69,3.0,2.0,52.82,Medium Risk
STU-7B835051,2,60.38,23.18,46.65,26.71,3.09,7.0,1.0,32.96,Medium Risk
STU-C19FF4D4,3,38.03,91.12,63.06,34.6,2.53,7.0,6.0,53.58,High Risk
STU-595433C2,1,68.19,88.24,83.8,66.45,2.6,6.0,5.0,91.89,Medium Risk
STU-A9D1C5D8,3,43.19,82.78,26.36,31.59,2.25,0.0,7.0,39.71,High Risk
STU-AF418B6E,2,89.75,24.66,18.34,15.45,1.5,9.0,2.0,51.64,High Risk
STU-FDCA7061,2,70.68,33.94,82.11,42.31,1.5,5.0,4.0,69.91,High Risk
STU-D0F50F24,3,89.9,46.73,70.05,62.64,1.88,2.0,2.0,80.21,Low Risk
STU-B5D45D78,3,97.14,41.05,84.81,15.42,2.4,7.0,2.0,15.77,High Risk
STU-4ED479E0,3,96.31,87.08,98.02,50.74,3.47,9.0,5.0,71.45,Medium Risk
STU-EF1C82EF,1,41.53,35.59,36.37,14.71,2.34,2.0,0.0,27.19,Medium Risk
STU-CA0726FB,1,96.41,62.57,31.51,79.14,3.69,7.0,0.0,78.23,Low Risk
STU-72B1B8CA,3,86.72,65.71,43.98,88.47,1.36,4.0,6.0,26.56,Medium Risk
STU-D8AAE86A,1,85.55,54.0,89.63,96.74,1.82,4.0,0.0,78.76,Low Risk
STU-D01D562F,1,40.86,39.26,16.19,72.21,1.21,7.0,0.0,95.39,Medium Risk
STU-9611B7D1,1,46.67,96.82,15.9,66.89,2.53,2.0,6.0,34.0,Medium Risk
STU-9523FB98,1,98.39,53.07,33.43,72.47,1.27,3.0,4.0,15.74,Medium Risk
STU-2BE763ED,2,48.87,78.18,46.95,86.92,3.39,0.0,6.0,24.43,Low Risk
STU-54D7D694,3,45.99,34.72,40.7,82.64,1.12,8.0,7.0,93.14,High Risk
STU-C1D96245,4,58.55,85.82,85.12,49.46,2.43,2.0,0.0,54.98,Low Risk
STU-FE5F3A60,2,94.37,37.27,73.63,68.6,2.26,7.0,4.0,60.7,Medium Risk
STU-C8C24295,4,65.95,74.02,86.22,24.57,1.61,0.0,4.0,28.01,Medium Risk
STU-F3CD0690,3,94.84,60.52,47.62,72.54,2.76,0.0,5.0,98.9,Medium Risk
STU-508406BC,4,56.73,31.72,65.64,75.77,2.16,5.0,7.0,30.51,High Risk
STU-0957C6FC,4,49.72,22.0,58.81,82.12,1.59,5.0,2.0,66.19,Medium Risk
STU-8DD14018,3,67.19,94.46,55.35,83.59,3.48,6.0,4.0,63.4,Medium Risk
STU-538B8804,2,75.01,30.06,39.49,49.59,2.98,0.0,0.0,20.56,Low Risk
STU-2515B20C,1,60.45,76.4,75.28,91.32,1.04,2.0,6.0,99.7,Medium Risk
STU-F5DBBAFF,1,57.49,72.21,59.54,98.29,2.51,3.0,3.0,61.75,Low Risk
STU-AA43BFF7,4,49.17,47.34,21.68,98.02,1.81,8.0,7.0,28.22,High Risk
STU-681B8807,4,52.88,34.83,15.04,62.72,3.75,7.0,2.0,79.16,Medium Risk
STU-9EE1F1DB,3,78.75,34.27,16.73,60.35,3.18,3.0,6.0,48.36,High Risk
STU-0F8A98D7,4,59.04,66.83,21.46,51.16,2.83,9.0,4.0,71.96,High Risk
STU-AF84DA1D,4,40.18,63.75,46.53,36.98,1.27,6.0,2.0,33.99,Medium Risk
STU-684E9EF1,2,43.98,90.07,40.98,40.04,3.79,8.0,5.0,93.39,Medium Risk
STU-4472CFEE,3,59.2,71.2,28.31,29.42,1.43,9.0,4.0,18.48,High Risk
STU-B0C382AE,2,95.09,85.54,58.81,96.02,2.35,9.0,4.0,16.72,Medium Risk
STU-94078E8F,2,59.64,22.59,97.47,65.78,3.04,7.0,2.0,88.51,Medium Risk
STU-3F21723F,1,38.94,73.68,28.66,94.1,2.48,4.0,2.0,61.26,Medium Risk
STU-2FF59FE9,2,62.17,38.7,36.3,44.84,3.65,8.0,1.0,44.03,Medium Risk
STU-6F4A92C5,3,78.47,40.23,54.28,36.84,3.51,4.0,1.0,27.0,Low Risk
STU-6A98A7BC,2,73.58,77.65,69.47,21.95,1.41,2.0,0.0,20.08,Low Risk
STU-7EAD0DCA,4,53.12,83.47,66.02,37.02,2.85,5.0,4.0,40.12,Medium Risk
STU-AF17FEDA,2,79.73,49.74,59.3,90.11,1.16,2.0,2.0,83.94,Low Risk
STU-B0BF82F5,1,75.99,83.21,77.67,62.4,3.16,1.0,6.0,31.36,Low Risk
STU-2BC85CDA,4,46.19,55.5,86.91,50.72,3.21,6.0,5.0,98.26,Medium Risk
STU-FF05736A,3,45.54,88.61,99.91,61.14,2.03,2.0,5.0,82.29,Medium Risk
STU-0A12C963,1,70.57,21.99,54.57,90.34,3.36,4.0,7.0,16.0,High Risk
STU-5F3C6BCE,2,77.86,26.68,99.57,27.35,2.96,8.0,3.0,61.72,Medium Risk
STU-7CA5E54C,2,97.52,82.11,77.09,96.91,2.51,3.0,5.0,48.65,Low Risk
STU-370142A8,4,62.43,69.93,70.87,69.96,2.37,8.0,6.0,52.74,Medium Risk
STU-48433ADE,3,84.72,64.72,69.37,86.98,1.33,5.0,5.0,52.7,High Risk
STU-3482E839,1,42.57,69.12,92.41,57.29,2.59,2.0,2.0,87.35,Low Risk
STU-9E56CE01,2,92.82,94.42,95.57,31.3,1.47,0.0,6.0,73.28,Medium Risk
STU-72C822FD,4,76.15,72.44,30.17,61.07,2.97,7.0,1.0,39.71,Low Risk
STU-7C63BD2C,3,75.89,71.8,56.94,16.11,2.78,9.0,6.0,58.83,High Risk
STU-78592619,4,44.26,80.76,95.02,86.7,1.87,3.0,6.0,56.39,Medium Risk
STU-F56F0252,1,37.57,89.33,47.48,68.46,1.74,5.0,2.0,39.4,Medium Risk
STU-3F3D647F,4,80.59,40.95,34.78,35.46,2.43,1.0,5.0,67.74,Medium Risk
STU-9D1E88AF,3,42.61,69.34,23.73,34.7,2.54,3.0,3.0,68.69,Medium Risk
STU-B95AD55B,3,43.25,66.72,65.76,91.25,3.39,7.0,2.0,24.12,Low Risk
STU-2AE38445,2,47.19,30.79,74.52,85.68,1.91,1.0,2.0,22.58,Medium Risk
STU-B2D14C7D,4,41.35,61.63,31.62,78.68,2.21,5.0,7.0,17.52,High Risk
STU-570D7BA1,3,75.65,25.56,72.26,47.33,2.03,1.0,3.0,65.35,Medium Risk
STU-FD97862D,4,62.43,34.8,91.47,88.53,2.18,7.0,1.0,99.65,Low Risk
STU-2A0B2792,2,52.3,93.04,35.7,32.22,2.7,2.0,7.0,92.24,High Risk
STU-92CC4B82,1,63.65,29.54,25.37,12.18,2.67,8.0,2.0,54.18,High Risk
STU-E7BA2D20,2,89.87,66.31,86.01,48.95,2.08,5.0,5.0,42.1,Medium Risk
STU-4DF10C2E,2,95.26,45.88,92.9,92.76,2.81,2.0,1.0,77.33,Low Risk
STU-4A569600,2,66.69,64.43,33.26,61.41,2.85,1.0,3.0,43.5,Medium Risk
STU-2F700BCB,2,71.84,38.8,76.32,30.65,2.58,7.0,2.0,17.95,Medium Risk
STU-E30D1C81,2,51.72,55.55,65.23,68.57,2.36,3.0,2.0,58.97,Low Risk
STU-7D2514B9,4,68.38,89.39,35.33,77.05,1.23,7.0,4.0,42.26,High Risk
STU-8C4C04D0,1,83.63,50.1,85.01,59.53,2.62,6.0,0.0,18.76,Low Risk
STU-41AE0E29,2,66.99,48.24,54.99,85.83,3.14,1.0,6.0,79.58,Medium Risk
STU-1E0D462B,4,54.63,55.69,74.53,63.31,1.65,6.0,3.0,63.72,Medium Risk
STU-6F510919,3,72.83,28.04,40.62,18.64,3.33,3.0,5.0,44.66,Medium Risk
STU-2EC28255,3,96.53,50.99,84.34,82.86,2.76,5.0,1.0,50.43,Low Risk
STU-FC089E6A,2,92.72,20.55,37.46,23.17,1.71,7.0,3.0,21.65,High Risk
STU-B3C60F4D,2,85.0,60.27,46.01,89.45,1.49,8.0,7.0,25.5,High Risk
STU-64844EB8,1,52.95,87.84,48.27,56.97,1.74,3.0,4.0,50.62,Medium Risk
STU-0D8E8384,2,50.7,64.17,32.55,75.87,3.28,2.0,5.0,27.86,Medium Risk
STU-FAA37E11,4,89.5,68.62,89.32,97.49,1.75,1.0,3.0,31.15,Low Risk
STU-58145F98,3,46.79,22.45,24.65,48.87,3.05,3.0,0.0,46.34,Low Risk
STU-4B39AE4D,1,74.36,88.76,62.87,51.37,2.64,1.0,5.0,59.54,Low Risk
STU-DF420900,4,63.53,50.8,84.2,84.33,2.64,2.0,6.0,62.39,Medium Risk
STU-2B9539F3,2,65.42,97.99,64.38,19.92,3.56,0.0,3.0,56.61,Low Risk
STU-4F98EA1E,1,64.55,29.64,42.79,12.49,3.62,6.0,1.0,21.2,Medium Risk
STU-2648CF0E,4,93.5,95.57,81.42,64.39,2.61,5.0,5.0,21.79,Medium Risk
STU-A038DA86,1,40.66,70.74,57.43,25.08,1.2,0.0,1.0,32.48,Low Risk
STU-5142BA4E,4,85.89,24.19,28.86,33.02,1.48,8.0,0.0,89.46,Medium Risk
STU-94624EB1,2,89.28,97.74,41.93,97.87,3.85,5.0,4.0,24.48,Low Risk
STU-481A2D2E,3,96.29,21.11,65.31,68.78,1.4,4.0,5.0,76.38,Medium Risk
STU-1667B731,2,64.42,78.46,71.0,87.02,3.51,0.0,6.0,84.65,Low Risk
STU-94F291E5,1,67.5,91.16,61.59,90.8,2.62,9.0,2.0,23.92,Medium Risk
STU-236DC250,3,97.48,34.06,38.12,20.92,1.34,4.0,2.0,65.72,Medium Risk
STU-E9932F36,4,64.8,47.47,65.47,93.5,3.76,1.0,7.0,80.37,Low Risk
STU-8F8345AA,3,67.73,64.9,43.26,87.99,3.78,6.0,0.0,83.27,Low Risk
STU-0B48219C,3,56.6,74.38,34.12,14.08,2.85,5.0,6.0,17.46,High Risk
STU-A696102A,4,37.06,89.75,95.37,97.95,2.17,3.0,0.0,60.49,Low Risk
STU-1351EC82,1,63.15,80.89,41.76,51.25,2.82,2.0,1.0,30.84,Low Risk
STU-5905E70D,1,77.58,49.07,43.53,97.7,2.88,4.0,0.0,90.59,Low Risk
STU-4AD58C2D,1,79.85,85.74,91.23,84.15,2.87,2.0,7.0,54.51,Medium Risk
STU-6EDCB25C,3,35.42,97.29,27.13,49.61,3.2,8.0,6.0,50.34,High Risk
STU-1822DDB9,4,87.07,38.16,64.69,56.04,1.2,5.0,1.0,32.58,Medium Risk
STU-0E3B284C,3,67.01,25.93,81.62,34.76,1.31,9.0,3.0,31.68,High Risk
STU-4E8AB776,4,68.85,54.13,38.26,53.82,1.85,1.0,1.0,99.26,Low Risk
STU-AD681427,3,97.51,90.51,86.75,19.67,2.05,6.0,1.0,20.75,Medium Risk
STU-3D414894,2,53.49,32.02,80.42,91.78,2.91,7.0,3.0,18.58,Medium Risk
STU-1843F3B0,1,84.51,90.86,56.32,74.19,1.52,8.0,1.0,37.6,Medium Risk
STU-22413947,4,72.36,99.38,25.09,82.47,2.62,3.0,7.0,46.15,Medium Risk
STU-D451B301,1,80.55,24.32,97.46,57.8,1.56,0.0,2.0,48.0,Low Risk
STU-3ED02F99,2,62.16,59.62,68.06,21.31,2.07,7.0,1.0,31.3,Medium Risk
STU-6B7DFA1F,2,53.15,46.31,58.95,58.35,3.81,9.0,7.0,94.82,Medium Risk
STU-2AFC3E33,1,70.5,51.49,90.26,39.63,3.69,0.0,0.0,91.68,Low Risk
STU-4EAB0D85,3,59.37,56.13,50.82,10.91,3.86,4.0,1.0,57.27,Medium Risk
STU-E074FBE0,1,49.49,79.18,62.91,65.35,2.77,1.0,3.0,79.06,Low Risk
STU-18B6CE55,4,89.55,67.3,87.97,86.83,2.5,7.0,0.0,34.11,Low Risk
STU-A9F7F6D2,2,65.93,96.9,48.4,73.95,3.55,4.0,5.0,87.66,Low Risk
STU-B8C84A36,3,90.08,46.62,80.65,30.12,1.24,5.0,3.0,50.01,Medium Risk
STU-DA16B3EF,3,65.81,63.32,36.77,83.72,3.94,6.0,3.0,26.35,Medium Risk
STU-2BF64FE1,3,71.19,85.07,74.7,37.85,2.39,3.0,2.0,82.41,Low Risk
STU-A56E79B3,4,99.69,49.84,58.39,29.66,3.03,4.0,5.0,55.86,Medium Risk
STU-AFFB652F,1,96.85,57.22,29.02,96.5,3.19,8.0,4.0,66.6,Medium Risk
STU-C175B3B0,1,52.66,74.8,26.56,11.49,2.89,5.0,2.0,92.91,Medium Risk
STU-E7300222,1,91.46,88.86,53.9,25.08,3.67,7.0,6.0,63.65,Medium Risk
STU-8FA43619,4,60.38,53.25,75.42,52.03,1.86,3.0,3.0,37.63,Medium Risk
STU-527C608C,4,39.63,62.56,66.28,25.04,2.6,3.0,6.0,44.15,High Risk
STU-F1C65EBE,2,72.43,98.01,87.65,25.02,2.29,7.0,3.0,87.8,Medium Risk
STU-0D0FB5AD,3,98.51,23.4,48.12,67.09,3.11,2.0,6.0,84.1,Medium Risk
STU-E82719DF,1,98.33,55.86,86.71,83.71,2.19,4.0,3.0,77.87,Low Risk
STU-ECFB4291,1,43.22,70.88,18.15,69.55,3.68,2.0,3.0,25.96,Low Risk
STU-F00DCD69,3,85.13,20.67,46.09,19.13,2.47,0.0,3.0,31.52,Low Risk
STU-56C731DE,1,87.18,67.74,21.2,90.58,2.61,2.0,7.0,74.75,Medium Risk
STU-12AABA09,2,58.97,24.5,93.14,93.05,2.48,5.0,2.0,38.64,Medium Risk
STU-1F5779ED,3,77.81,88.6,55.4,35.29,2.87,5.0,4.0,75.46,Medium Risk
STU-24D6B63F,3,66.73,84.57,41.87,59.78,2.53,6.0,3.0,73.94,Medium Risk
STU-A8489AEF,2,49.81,22.58,56.86,53.67,3.81,2.0,5.0,65.03,Medium Risk
STU-6CC995E2,3,84.48,23.9,60.29,70.14,1.39,8.0,4.0,99.01,High Risk
STU-FE571B69,2,52.08,80.29,86.93,98.02,1.04,9.0,0.0,89.33,Low Risk
STU-67784212,1,57.13,49.56,61.11,98.77,2.57,8.0,1.0,25.25,Medium Risk
STU-555B1B89,3,47.35,66.0,51.67,55.82,3.29,1.0,5.0,77.33,Medium Risk
STU-23480E26,1,81.75,41.63,96.72,18.28,2.94,7.0,3.0,87.13,Medium Risk
STU-CD954985,1,64.82,33.84,97.33,40.1,3.89,1.0,5.0,89.11,Low Risk
STU-79B4FC52,2,63.82,43.69,18.27,47.22,1.55,1.0,6.0,58.71,Medium Risk
STU-D6BEF4BD,4,74.3,39.74,75.08,58.12,3.08,5.0,6.0,87.9,Medium Risk
STU-8A5DB746,1,45.22,55.86,46.6,96.43,3.45,7.0,7.0,87.62,High Risk
STU-5CD1E2B2,1,93.38,79.73,72.39,33.62,3.74,0.0,7.0,62.08,Medium Risk
STU-BB1EE2FE,1,65.23,64.33,69.14,58.3,2.59,7.0,6.0,61.0,High Risk
STU-53D89564,2,58.82,68.73,43.06,36.19,2.09,7.0,6.0,67.3,High Risk
STU-14258912,3,43.23,57.61,98.87,92.75,3.87,3.0,5.0,28.37,Medium Risk
STU-AEC5F06A,1,45.92,45.98,45.35,99.1,3.37,5.0,3.0,77.81,Low Risk
STU-B66EDAB3,4,94.82,31.48,68.72,88.37,2.41,1.0,5.0,90.68,Low Risk
STU-BC0BE858,3,64.68,48.37,84.14,40.49,2.95,0.0,3.0,62.6,Low Risk
STU-843AC161,3,81.94,73.22,27.36,35.01,1.84,6.0,5.0,77.63,High Risk
STU-8D29CD37,2,40.23,78.7,40.55,48.81,2.84,6.0,6.0,59.4,Medium Risk
STU-5334FACB,2,76.83,57.53,31.91,77.28,2.62,2.0,1.0,62.76,Low Risk
STU-5584B5BA,2,94.9,71.6,81.45,10.84,1.12,2.0,7.0,64.05,High Risk
STU-4A209708,2,54.5,36.84,83.1,99.56,3.6,9.0,4.0,36.73,Medium Risk
STU-08073C87,1,72.64,88.81,36.76,89.51,2.47,0.0,5.0,80.05,Low Risk
STU-560B90DC,3,96.11,89.27,15.35,12.14,2.44,0.0,2.0,50.43,Low Risk
STU-F832D763,2,81.76,45.63,50.98,44.39,1.85,1.0,3.0,20.09,Medium Risk
STU-BCB020A7,1,39.05,63.82,73.41,71.91,1.59,9.0,1.0,56.2,Medium Risk
STU-392BE243,1,59.62,68.53,67.91,31.73,1.87,2.0,0.0,25.57,Medium Risk
STU-F154B6B5,1,40.58,57.79,52.88,22.86,2.95,3.0,1.0,82.93,Medium Risk
STU-2126317C,4,90.99,92.89,40.67,66.64,1.29,7.0,3.0,29.57,Medium Risk
STU-07C14CD5,1,75.41,79.18,55.32,91.32,2.0,4.0,6.0,91.75,Medium Risk
STU-9484F427,4,97.16,73.8,16.28,96.0,3.94,1.0,7.0,90.51,Low Risk
STU-FCCD0A94,3,36.28,61.61,21.28,10.92,1.81,6.0,6.0,90.51,High Risk
STU-16C4743C,4,62.5,26.79,28.83,88.7,3.9,7.0,4.0,41.94,Medium Risk
STU-A8A8ECA4,2,41.78,28.63,68.16,60.47,1.31,2.0,4.0,41.94,High Risk
STU-EFA315FB,4,57.78,43.92,33.6,31.39,3.38,5.0,6.0,45.79,Medium Risk
STU-0CDD0F57,1,45.52,36.92,50.99,65.52,2.32,9.0,0.0,89.87,Medium Risk
STU-D0EE8E4F,3,56.37,96.2,67.82,99.62,1.58,7.0,3.0,47.42,Medium Risk
STU-F0489277,1,88.25,52.79,85.6,34.86,3.36,9.0,0.0,63.12,Low Risk
STU-82F7BA6F,2,45.45,90.13,61.72,34.92,1.02,5.0,5.0,97.54,High Risk
STU-66C34176,3,65.79,85.45,30.06,72.9,2.04,9.0,7.0,74.35,High Risk
STU-CB4B775A,3,94.9,85.01,95.9,13.89,2.81,5.0,0.0,82.71,Medium Risk
STU-B1E6AED0,2,99.92,37.26,22.65,83.85,1.69,7.0,3.0,54.02,Medium Risk
STU-41126432,1,51.29,55.79,46.21,68.73,2.0,0.0,6.0,79.38,Medium Risk
STU-23F30A3D,3,95.81,45.44,93.31,85.71,1.27,1.0,4.0,82.89,Medium Risk
STU-8DBC76C7,2,51.99,97.63,66.2,30.77,3.56,2.0,4.0,73.07,Medium Risk
STU-C71BB1A7,1,61.88,90.14,71.33,86.25,2.27,6.0,4.0,99.94,Medium Risk
STU-9627B76B,4,92.07,39.99,40.64,50.38,1.44,0.0,4.0,21.71,Medium Risk
STU-BDE8CC3E,4,86.1,45.08,21.68,21.95,1.6,3.0,4.0,85.74,Medium Risk
STU-5D4EA209,4,90.74,62.31,46.09,91.13,1.83,2.0,7.0,33.44,Medium Risk
STU-5FD080E8,4,87.02,42.29,49.18,73.45,1.69,7.0,0.0,68.31,Medium Risk
STU-B924BDA1,1,50.28,85.96,37.97,25.15,2.51,6.0,6.0,84.46,High Risk
STU-4372ABD4,4,71.32,85.54,33.32,32.19,3.72,0.0,5.0,70.21,Medium Risk
STU-9FF46D5F,2,60.04,77.95,45.22,34.2,1.55,8.0,2.0,38.26,Medium Risk
STU-09C9EC3E,1,64.88,75.14,69.35,96.7,2.36,3.0,3.0,41.07,Low Risk
STU-64BB0EE8,4,45.01,63.78,95.67,89.76,2.99,6.0,7.0,66.01,High Risk
STU-2D185182,1,55.52,47.77,74.82,41.17,1.55,5.0,5.0,91.96,Medium Risk
STU-02E3019B,2,90.75,86.96,81.27,52.0,1.46,2.0,5.0,70.84,Medium Risk
STU-DF1A15FA,1,93.34,88.71,41.02,35.68,1.47,5.0,2.0,51.07,Medium Risk
STU-03F1437C,2,74.66,23.96,23.9,76.84,3.65,6.0,0.0,88.51,Low Risk
STU-5EF36098,3,67.39,51.89,39.78,24.51,3.13,4.0,7.0,40.39,Medium Risk
STU-265A00CE,2,81.33,22.13,49.23,40.48,2.01,9.0,6.0,59.77,High Risk
STU-02FDB97D,1,74.58,87.16,73.64,64.55,3.71,3.0,7.0,41.31,Medium Risk
STU-B434B384,2,98.94,34.17,94.85,88.96,3.86,5.0,3.0,81.73,Low Risk
STU-935C87A1,2,47.36,73.91,83.79,67.2,2.19,9.0,0.0,32.05,Medium Risk
STU-47F6F32F,1,64.19,48.59,37.64,94.58,2.53,7.0,5.0,70.75,High Risk
STU-E3BC2032,4,94.69,85.29,84.73,93.77,2.07,6.0,7.0,71.08,Medium Risk
STU-BAC5E4AB,2,94.46,60.77,50.0,74.65,1.68,2.0,3.0,94.15,Medium Risk
STU-BA46354E,4,67.2,45.95,29.91,35.08,3.34,1.0,5.0,52.5,Medium Risk
